Pos,P+,Artist,Title,Wks,Pk,(x?),Streams,Streams+,Total
190,-19,TWISTED ,WORTH NOTHING,9,136,,7049588,-454890.0,63900813
191,+7,Post Malone ,Sunflower,219,1,(x2),7010381,43248.0,2453293928
192,-106,Quevedo ,AHORA QUÉ,2,86,,6997632,-3062395.0,17057659
193,-4,Ed Sheeran ,Shape of You,302,1,(x14),6995594,-192939.0,3255883435
194,-7,James Arthur ,Say You Won't Let Go,286,7,,6969766,-265651.0,1950235676
195,RE,Ed Sheeran ,Bad Habits,78,3,(x4),6956117,,1345540456
196,RE,Future ,WAIT FOR U,37,10,,6946765,,370986672
197,RE,The Police ,Every Breath You Take,75,109,,6920631,,431124951
198,RE,Coldplay ,My Universe,64,3,(x1),6894389,,807434112
199,RE,Doja Cat ,Woman,77,6,,6884698,,1111134654
200,-27,Måneskin ,THE LONELIEST,9,50,,6884404,-604616.0,72707765
